flow_id,src_ip,src_port,dest_ip,dest_port,timestamp,category,signature,severity,proto
81676894799922,10.47.24.55,4444,10.128.0.227,50512,2018-03-24T17:42:47.542475-0600,Potentially Bad Traffic,GPL ATTACK_RESPONSE id check returned root,2,TCP
2243564140215767,10.47.3.208,25,10.240.105.57,36911,2018-03-23T16:11:44.787662-0600,Generic Protocol Command Decode,SURICATA SMTP invalid reply,3,TCP
1963712673669493,10.240.105.57,38421,10.47.3.208,25,2018-03-23T16:14:50.077012-0600,Generic Protocol Command Decode,SURICATA SMTP invalid pipelined sequence,3,TCP
1657526646271347,10.47.4.100,25,10.240.105.57,32835,2018-03-23T16:25:56.086776-0600,Generic Protocol Command Decode,SURICATA SMTP bdat chunk len exceeded,3,TCP
1076721938640328,10.47.6.100,5902,10.128.0.252,62670,2018-03-23T13:59:42.492204-0600,Generic Protocol Command Decode,SURICATA SMTP no server welcome message,3,TCP
555194816221361,10.128.0.215,51383,10.47.8.100,25,2018-03-23T14:04:30.147056-0600,Generic Protocol Command Decode,SURICATA SMTP tls rejected,3,TCP
1130699901632331,10.47.27.55,25,10.128.0.207,34789,2018-03-23T18:04:11.415430-0600,Generic Protocol Command Decode,SURICATA SMTP data command rejected,3,TCP
731372139396888,10.128.0.254,61839,10.47.6.100,25,2018-03-23T13:42:17.723178-0600,Generic Protocol Command Decode,SURICATA SMTP duplicate fields,3,TCP
1200879754295212,10.128.0.221,34536,10.47.8.19,2869,2018-03-23T18:26:20.448059-0600,Generic Protocol Command Decode,SURICATA HTTP request field missing colon,3,TCP
1018920832803725,10.240.105.57,35747,10.47.1.208,80,2018-03-23T16:23:48.279582-0600,Generic Protocol Command Decode,SURICATA HTTP invalid request chunk len,3,TCP
283156831537903,10.128.0.207,38541,10.47.27.80,80,2018-03-23T18:05:48.531941-0600,Generic Protocol Command Decode,SURICATA HTTP invalid transfer encoding value in request,3,TCP
628600317680385,10.128.0.247,58601,10.47.6.208,443,2018-03-23T14:59:23.185254-0600,Generic Protocol Command Decode,SURICATA HTTP invalid content length field in request,3,TCP
1541209784072748,10.47.8.218,8093,10.128.0.215,50506,2018-03-23T14:04:04.184490-0600,Generic Protocol Command Decode,SURICATA HTTP unable to match response to request,3,TCP
1789032860711535,10.128.0.241,42202,10.47.2.156,80,2018-03-24T13:51:04.114714-0600,Generic Protocol Command Decode,SURICATA HTTP request header invalid,3,TCP
115854084879058,10.128.0.221,54396,10.47.1.1,4443,2018-03-23T14:20:36.006308-0600,Generic Protocol Command Decode,SURICATA HTTP missing Host header,3,TCP
1015059172428500,10.128.0.221,49942,10.47.1.59,8080,2018-03-23T14:19:50.995816-0600,Generic Protocol Command Decode,SURICATA HTTP Host header ambiguous,3,TCP
958115209573859,10.128.0.207,42285,10.47.27.150,8080,2018-03-23T17:58:52.064811-0600,Generic Protocol Command Decode,SURICATA HTTP request buffer too long,3,TCP
1146260156151284,10.128.0.227,63863,10.47.1.20,80,2018-03-23T16:19:25.900259-0600,Generic Protocol Command Decode,SURICATA HTTP multipart generic error,3,TCP
1015059172428500,10.128.0.221,49942,10.47.1.59,8080,2018-03-23T14:19:50.995816-0600,Generic Protocol Command Decode,SURICATA HTTP Host part of URI is invalid,3,TCP
1098823919933159,10.128.0.221,51688,10.47.1.59,8080,2018-03-23T14:19:55.801339-0600,Generic Protocol Command Decode,SURICATA HTTP Host header invalid,3,TCP
49536051670258,10.240.105.57,45605,10.47.27.158,2869,2018-03-23T16:42:11.150974-0600,Generic Protocol Command Decode,SURICATA HTTP URI terminated by non-compliant character,3,TCP
897759376179185,10.128.0.225,53192,10.47.3.151,2869,2018-03-23T14:33:57.986351-0600,Generic Protocol Command Decode,SURICATA HTTP METHOD terminated by non-compliant character,3,TCP
403015155716271,10.47.8.154,49354,52.85.83.147,80,2018-03-23T12:28:02.409799-0600,Generic Protocol Command Decode,SURICATA HTTP Request abnormal Content-Encoding header,3,TCP
657295737752862,10.172.152.13,41817,10.47.8.251,5223,2018-03-24T12:20:38.550275-0600,Generic Protocol Command Decode,SURICATA TLS invalid SSLv2 header,3,TCP
790488241640383,10.47.1.200,443,10.128.0.221,35338,2018-03-23T14:25:59.826655-0600,Generic Protocol Command Decode,SURICATA TLS invalid handshake message,3,TCP
1221173333524318,10.47.1.208,53872,65.55.50.190,443,2018-03-23T17:50:25.456505-0600,Generic Protocol Command Decode,SURICATA TLS certificate invalid length,3,TCP
2043491888507104,10.47.4.142,3306,10.218.198.194,44619,2018-03-23T17:05:30.465603-0600,Generic Protocol Command Decode,SURICATA TLS error message encountered,3,TCP
